estrategia,cagr,vol,sharpe,maxdd,periodo,test
tilt ETFs,0.10220481055395814,0.18542863979137603,0.6179378926215597,-0.2735881990340733,IS,tilt_etf
buy&hold ETFs,0.11221597007177775,0.15991941343507107,0.7453379180646537,-0.2203049570125175,IS,tilt_etf
tilt ETFs,0.11496546062368829,0.25409333252280625,0.5572074371603903,-0.4895514923721229,OOS,tilt_etf
buy&hold ETFs,0.13752789388229103,0.20391469412575927,0.7348409965453699,-0.37799623702836505,OOS,tilt_etf
tilt watchlist,0.21730622248380138,0.1946680000738983,1.107991033948526,-0.2934230681433244,IS,tilt_wl
buy&hold watchlist,0.23294155489450263,0.1775882652720911,1.2688386456341367,-0.2672371496436615,IS,tilt_wl
tilt watchlist,0.28576269665295295,0.29529847039718565,1.0007780716005412,-0.4819369463838369,OOS,tilt_wl
buy&hold watchlist,0.29782713593956367,0.25144665922391574,1.1638226104454614,-0.3949670738895661,OOS,tilt_wl
top5 castigados watchlist,0.14710102451642348,0.23320476797037848,0.7054518291903209,-0.41457622470606703,IS,rot_wl
bottom5 extendidos watchlist,0.18720843425929967,0.1951314279672671,0.9773742967982101,-0.29799404568180665,IS,rot_wl
equal-weight todos watchlist,0.18860172754896154,0.18302407128558082,1.0362817278105545,-0.2672371496436615,IS,rot_wl
top5 castigados watchlist,0.18846817346787925,0.32946154796058713,0.6890303820238246,-0.4684823136981615,OOS,rot_wl
bottom5 extendidos watchlist,0.27937287622974694,0.27626266282549855,1.031093581539586,-0.40530369849017667,OOS,rot_wl
equal-weight todos watchlist,0.29782713593956367,0.25144665922391574,1.1638226104454614,-0.3949670738895661,OOS,rot_wl
