set,kind,n,success_rate,edge_vs_all,edge_vs_uptrend,z,avg_R,expectancy_pct,avg_ret_3m,hit10_no_stop,avg_mae
base_all,baseline,42992,0.4966970599181243,0.0,0.028395624511425743,0.0,0.2696833818831394,0.016285452523700873,0.10890782229617625,0.6406773353181987,-0.13001146909018635
base_uptrend_rs_top30,baseline,13472,0.4963628266033254,-0.00033423331479887075,0.028061391196626873,-0.07758990942331441,0.26364590971726315,0.015890558838365904,0.12399256107581556,0.6513509501187649,-0.12013700045620862
base_uptrend,baseline,30096,0.46830143540669855,-0.028395624511425743,0.0,-9.852473726986508,0.26731908816501526,0.014955161607148494,0.12167934441651825,0.6130050505050505,-0.11729728442491563
score>=70 · PB B · gate RS,variant,68,0.6176470588235294,0.12094999890540514,0.14934562341683089,1.9948020083347977,0.6513757075573487,0.041294015333012246,0.1028480611812369,0.7058823529411765,-0.07935363735546803
score>=70 · PB B · stop 4xATR,variant,106,0.6132075471698113,0.116510487251687,0.14490611176311274,2.3991501157899937,0.4569606378313661,0.03933092023691472,0.09158203975605854,0.6226415094339622,-0.08173592274844706
score>=70 · PB B,variant,106,0.5471698113207547,0.05047275140263041,0.07886837591405615,1.039320238274147,0.6343154828898133,0.03292630812711974,0.09158203975605854,0.6226415094339622,-0.08173592274844706
score>=70 · sin stop,variant,558,0.6057347670250897,0.10903770710696536,0.1374333316183911,5.15149498674753,0.013975893402748159,0.03113206707318387,0.10499918439209432,0.6057347670250897,-0.11249795450863094
score>=70 · stop 6.0xATR,variant,558,0.5985663082437276,0.10186924832560329,0.13026487283702903,4.812820591855251,0.19072761795236715,0.024024986172565134,0.10499918439209432,0.6057347670250897,-0.11249795450863094
score>=70 · gate RS top30,variant,380,0.5289473684210526,0.032250308502928315,0.06064593301435406,1.2573759329052054,0.3891628335544542,0.02211123578642297,0.09843206802815285,0.6368421052631579,-0.11171864633932574
score>=70 · stop 4.0xATR,variant,558,0.5627240143369175,0.06602695441879325,0.09442257893021899,3.1194486173938722,0.24974616178272882,0.020948453427570984,0.10499918439209432,0.6057347670250897,-0.11249795450863094
score>=70 · stop 3.0xATR,variant,558,0.5268817204301075,0.030184660511983208,0.05858028502340895,1.4260766429324934,0.30259653769713324,0.020320554697683044,0.10499918439209432,0.6057347670250897,-0.11249795450863094
score>=85 · all PB,variant,121,0.5206611570247934,0.023964097106669136,0.05235972161809488,0.527221639829636,0.34318041602737454,0.02005189774332036,0.10017973549217041,0.6363636363636364,-0.11300492143992961
score>=70 · all PB,variant,558,0.492831541218638,-0.0038655186994863144,0.02453010581193943,-0.18262673280581593,0.3501880789089411,0.018131222511897947,0.10499918439209432,0.6057347670250897,-0.11249795450863094
score>=75 · all PB,variant,387,0.4935400516795866,-0.0031570082385377063,0.025238616272888037,-0.12421403490358326,0.2888777692238754,0.01794359960191303,0.1122668381977735,0.6072351421188631,-0.11845629813436435
score>=70 · stop 2.0xATR,variant,558,0.449820788530466,-0.04687627138765832,-0.018480646876232576,-2.2146731021594688,0.3954552799425925,0.016924304996878543,0.10499918439209432,0.6057347670250897,-0.11249795450863094
score>=80 · all PB,variant,226,0.5,0.003302940081875705,0.03169856459330145,0.09931032119998383,0.27356526559953237,0.016461458926373893,0.08268656171344962,0.6194690265486725,-0.11509620054847056
score>=70 · PB A,variant,442,0.48642533936651583,-0.010271720551608465,0.018123903959817278,-0.43191053963112447,0.3046631628278058,0.01602980579929193,0.11173589806286018,0.6040723981900452,-0.11746218722320786
score>=65 · all PB,variant,767,0.4771838331160365,-0.01951322680208778,0.008882397709337964,-1.0808520386091192,0.30778051975728754,0.01576236345516946,0.11594480254800543,0.6075619295958279,-0.11423212114133018
score>=60 · all PB,variant,1176,0.46683673469387754,-0.029860325224246753,-0.0014647007128210099,-2.0480363761205362,0.2923182628113009,0.014824026719262742,0.11594364522414959,0.6045918367346939,-0.11374795623171448
score>=70 · PB C,variant,10,0.2,-0.2966970599181243,-0.26830143540669854,-1.8765179126986409,-0.6493611125021295,-0.045814066312267296,-0.05054182671377856,0.5,-0.21915640518228074
