regla,H,n_raw,n_indep,p_up,base_up,lift,ci_lo,ci_hi,mean_ret,base_ret,edge_ret,lift_IS,lift_OOS,yrs_ok,n_yrs,signif,universo
C01 rsi2<5,3,19268,11278,0.5568363184961873,0.5430094413145261,0.013826877181661201,0.547668080389775,0.5660045566025996,0.00395334172199236,0.0021856427279600783,0.0017676989940322817,0.015578203063342233,0.012123987994138052,0.6470588235294118,17,2.9559310045734524,acciones+ETFs
C01 rsi2<5,5,19268,9934,0.562411918663177,0.5523930265640531,0.010018892099123877,0.5526563184695824,0.5721675188567715,0.005634969936264785,0.003626211831220274,0.0020087581050445115,0.013898917876555172,0.005561059052608175,0.5882352941176471,17,2.0128980405712187,acciones+ETFs
C01 rsi2<5,10,19268,8552,0.566066417212348,0.5690746346928559,-0.0030082174805079465,0.5555621066920092,0.5765707277326867,0.007917975250809553,0.007186599201579938,0.0007313760492296149,-0.01326342909982281,0.012181817277115314,0.47058823529411764,17,0.5613035001563745,acciones+ETFs
C01 rsi2<5,21,19268,6782,0.5930404010616337,0.5894247488840954,0.003615652177538342,0.5813482352039527,0.6047325669193147,0.01669606348987725,0.015210966521968631,0.0014850969679086196,0.01245156271866077,-0.007336225269309993,0.7058823529411765,17,0.6061048358563706,acciones+ETFs
C02 rsi2<5 & px>ema200,3,8655,5510,0.5622504537205082,0.5430094413145261,0.019241012405982083,0.549150853811861,0.5753500536291554,0.0028238159007166787,0.0021856427279600783,0.0006381731727566004,0.024655714275200302,0.011816428907906129,0.5882352941176471,17,2.878895888326371,acciones+ETFs
C02 rsi2<5 & px>ema200,5,8655,5039,0.5709466163921413,0.5523930265640531,0.01855358982808819,0.5572807456210469,0.5846124871632357,0.005160561329792487,0.003626211831220274,0.001534349498572213,0.025285941799337408,0.008969120941623387,0.6470588235294118,17,2.6610112646441055,acciones+ETFs
C02 rsi2<5 & px>ema200,10,8655,4570,0.57417943107221,0.5690746346928559,0.005104796379354126,0.5598431962958579,0.5885156658485622,0.007012758298243239,0.007186599201579938,-0.0001738409033366986,-0.0035347174944460047,0.017928560311443964,0.5882352941176471,17,0.6979099505288602,acciones+ETFs
C02 rsi2<5 & px>ema200,21,8655,3843,0.5914650013010668,0.5894247488840954,0.0020402524169714775,0.5759232470074565,0.6070067555946772,0.014060437302048411,0.015210966521968631,-0.00115052921992022,0.012585507262094953,-0.013473943113492592,0.5882352941176471,17,0.25730008734651943,acciones+ETFs
C03 rsi2<10 & px>ema200,3,18884,11552,0.5550554016620498,0.5430094413145261,0.012045960347523699,0.5459928891881064,0.5641179141359932,0.002806096132820077,0.0021856427279600783,0.0006204534048599988,0.006957309636222542,0.01955664602779772,0.5882352941176471,17,2.6052468726559375,acciones+ETFs
C03 rsi2<10 & px>ema200,5,18884,10083,0.563423584250719,0.5523930265640531,0.011030557686665943,0.553742838052053,0.573104330449385,0.004652668942645466,0.003626211831220274,0.0010264571114251917,0.009832653141389258,0.012622268153864247,0.6470588235294118,17,2.233287870809441,acciones+ETFs
C03 rsi2<10 & px>ema200,10,18884,8386,0.5807297877414739,0.5690746346928559,0.011655153048617972,0.5701686015778649,0.5912909739050829,0.007518794994617886,0.007186599201579938,0.0003321957930379482,0.01657872504304958,0.0033840291474398487,0.5294117647058824,17,2.163024079057118,acciones+ETFs
C03 rsi2<10 & px>ema200,21,18884,6124,0.5893207054212932,0.5894247488840954,-0.00010404346280212806,0.5769991443470924,0.601642266495494,0.01411303318678506,0.015210966521968631,-0.0010979333351835707,-0.003598690873322763,0.004745340030077094,0.47058823529411764,17,0.01655027198778851,acciones+ETFs
C04 rsi14<30,3,9248,4446,0.5773729194781826,0.5430094413145261,0.03436347816365648,0.5628525319170187,0.5918933070393465,0.006598296186206693,0.0021856427279600783,0.004412653458246615,0.041671504781046975,0.02661278117653476,0.8235294117647058,17,4.638472417975036,acciones+ETFs
C04 rsi14<30,5,9248,3433,0.5889892222545878,0.5523930265640531,0.03659619569053474,0.5725303737146666,0.605448070794509,0.007617239765180326,0.003626211831220274,0.003991027933960052,0.05600674812505768,0.014396003974421867,0.7647058823529411,17,4.358053564893643,acciones+ETFs
C04 rsi14<30,10,9248,2611,0.5783224818077365,0.5690746346928559,0.00924784711488058,0.5593803917641156,0.5972645718513574,0.00994998284008797,0.007186599201579938,0.0027633836385080315,0.005596137378082844,0.01598583317453861,0.5882352941176471,17,0.9569049826827368,acciones+ETFs
C04 rsi14<30,21,9248,2116,0.6247637051039697,0.5894247488840954,0.03533895621987437,0.6041332620389448,0.6453941481689947,0.019566578374446773,0.015210966521968631,0.0043556118524781424,0.04126259128704812,0.029910356531727245,0.7647058823529411,17,3.3573856835085856,acciones+ETFs
C05 rsi14<30 & px>ema200,3,804,503,0.6083499005964215,0.5430094413145261,0.06534045928189536,0.5656921530115364,0.6510076481813065,0.006386920273840888,0.0021856427279600783,0.00420127754588081,0.09764234756490153,0.021565825018108775,0.75,16,3.0022049321210114,acciones+ETFs
C05 rsi14<30 & px>ema200,5,804,446,0.6300448430493274,0.5523930265640531,0.0776518164852743,0.5852375285659727,0.6748521575326821,0.009736096110494034,0.003626211831220274,0.00610988427927376,0.10973118824190287,0.03338635663740874,0.75,16,3.3967123909574344,acciones+ETFs
C05 rsi14<30 & px>ema200,10,804,405,0.6098765432098765,0.5690746346928559,0.04080190851702059,0.5623703143473021,0.6573827720724509,0.011918213184368566,0.007186599201579938,0.004731613982788628,0.059552146011044194,0.014665022311521891,0.875,16,1.6833948433310053,acciones+ETFs
C05 rsi14<30 & px>ema200,21,804,388,0.6494845360824743,0.5894247488840954,0.0600597871983789,0.6020080893682851,0.6969609827966634,0.018720045500316647,0.015210966521968631,0.003509078978348016,0.10511186990772259,-0.002231988137522345,0.75,16,2.4794859568469128,acciones+ETFs
C06 z20<-2,3,17157,9631,0.5519676046101132,0.5430094413145261,0.008958163295587074,0.5420357150144788,0.5618994942057476,0.0035077650462594233,0.0021856427279600783,0.001322122318299345,0.018841499226128766,-0.004018746203429124,0.5294117647058824,17,1.7678408413911921,acciones+ETFs
C06 z20<-2,5,17157,7776,0.5691872427983539,0.5523930265640531,0.016794216234300774,0.5581807285079677,0.58019375708874,0.005793892322165859,0.003626211831220274,0.0021676804909455854,0.032314578303169084,-0.004106047790479628,0.7647058823529411,17,2.990652894348334,acciones+ETFs
C06 z20<-2,10,17157,6532,0.5770055113288426,0.5690746346928559,0.007930876635986683,0.5650245871859859,0.5889864354716993,0.0098416036358136,0.007186599201579938,0.002655004434233663,0.004907168754086366,0.012972419295250393,0.5882352941176471,17,1.2974389972915361,acciones+ETFs
C06 z20<-2,21,17157,5543,0.609056467616814,0.5894247488840954,0.019631718732718628,0.596210422939821,0.621902512293807,0.019852323766205278,0.015210966521968631,0.004641357244236647,0.02488807757662459,0.013111040873366342,0.7647058823529411,17,2.9953320016893676,acciones+ETFs
C07 z20<-2 & px>ema200,3,7242,4396,0.565059144676979,0.5430094413145261,0.022049703362452933,0.5504040278306038,0.5797142615233543,0.0037088656792572394,0.0021856427279600783,0.0015232229512971611,0.029305754557894192,0.010204316465310503,0.5882352941176471,17,2.948964449989837,acciones+ETFs
C07 z20<-2 & px>ema200,5,7242,3687,0.5779766748033631,0.5523930265640531,0.02558364823931003,0.562034671817648,0.5939186777890783,0.006680327523360088,0.003626211831220274,0.003054115692139814,0.03165086148900975,0.015230363539624814,0.5882352941176471,17,3.1453983915308004,acciones+ETFs
C07 z20<-2 & px>ema200,10,7242,3248,0.5858990147783252,0.5690746346928559,0.01682438008546927,0.568959047121085,0.6028389824355653,0.009802507965588446,0.007186599201579938,0.0026159087640085085,0.01549127842076492,0.017802746862420005,0.5882352941176471,17,1.946626205831391,acciones+ETFs
C07 z20<-2 & px>ema200,21,7242,2941,0.6082964977898674,0.5894247488840954,0.018871748905772034,0.5906546145100247,0.6259383810697101,0.01802624408423283,0.015210966521968631,0.0028152775622641985,0.028254356203604947,0.002338606423854306,0.7058823529411765,17,2.096637148573338,acciones+ETFs
C08 pctB<0 & px>ema200,3,7242,4396,0.565059144676979,0.5430094413145261,0.022049703362452933,0.5504040278306038,0.5797142615233543,0.0037088656792572394,0.0021856427279600783,0.0015232229512971611,0.029305754557894192,0.010204316465310503,0.5882352941176471,17,2.948964449989837,acciones+ETFs
C08 pctB<0 & px>ema200,5,7242,3687,0.5779766748033631,0.5523930265640531,0.02558364823931003,0.562034671817648,0.5939186777890783,0.006680327523360088,0.003626211831220274,0.003054115692139814,0.03165086148900975,0.015230363539624814,0.5882352941176471,17,3.1453983915308004,acciones+ETFs
C08 pctB<0 & px>ema200,10,7242,3248,0.5858990147783252,0.5690746346928559,0.01682438008546927,0.568959047121085,0.6028389824355653,0.009802507965588446,0.007186599201579938,0.0026159087640085085,0.01549127842076492,0.017802746862420005,0.5882352941176471,17,1.946626205831391,acciones+ETFs
C08 pctB<0 & px>ema200,21,7242,2941,0.6082964977898674,0.5894247488840954,0.018871748905772034,0.5906546145100247,0.6259383810697101,0.01802624408423283,0.015210966521968631,0.0028152775622641985,0.028254356203604947,0.002338606423854306,0.7058823529411765,17,2.096637148573338,acciones+ETFs
C09 3 bajas seguidas & px>ema200,3,18627,11787,0.5546788835157377,0.5430094413145261,0.011669442201211577,0.5457064160848369,0.5636513509466384,0.002799584973215163,0.0021856427279600783,0.0006139422452550846,0.013100753423410105,0.00971642279040541,0.7058823529411765,17,2.5491434647735947,acciones+ETFs
C09 3 bajas seguidas & px>ema200,5,18627,10832,0.5679468242245199,0.5523930265640531,0.015553797660466828,0.5586180585514455,0.5772755898975943,0.004755957509650867,0.003626211831220274,0.0011297456784305935,0.015375886009888373,0.015966904224396172,0.7647058823529411,17,3.267896791802259,acciones+ETFs
C09 3 bajas seguidas & px>ema200,10,18627,8876,0.573231185218567,0.5690746346928559,0.004156550525711067,0.5629413441364821,0.5835210263006518,0.007002393010246143,0.007186599201579938,-0.00018420619133379442,-0.0015268722327198558,0.012599840210659297,0.5294117647058824,17,0.7917361371671517,acciones+ETFs
