i,date,playbook,score,asset,regime,outcome,entry,stop,target,bars_held,mfe,mae,ret_horizon,r_mult,hit10_no_stop,risk_pct,class
2014,2024-01-04,A,90.0,MELI,RISK_ON,WIN,1527.0799560546875,1432.9695479511104,1679.7879516601563,7.0,0.1950913197204216,-0.030803833686428694,-0.01660684841747362,1.6226472574361754,True,0.06162768866845564,stock
2047,2024-02-22,B,90.0,MELI,RISK_ON,LOSS,1670.0,1552.6216455132737,1837.0000000000002,8.0,0.07308386157372748,-0.2065928202189371,0.039988041495134796,-1.0,False,0.07028643981241088,stock
2139,2024-07-05,A,70.0,MELI,RISK_ON,WIN,1659.3900146484375,1549.0683660108448,1825.3290161132813,22.0,0.30272567713789655,-0.04797545161101191,0.1806747864437137,1.5041381588663034,True,0.06648325448732173,stock
2150,2024-07-22,A,80.0,MELI,RISK_ON,WIN,1683.510009765625,1563.1954930334855,1851.8610107421875,12.0,0.2840612576872661,-0.06161530366142054,0.2353891732143869,1.399257592093965,True,0.07146646947997025,stock
2200,2024-10-01,A,82.0,MELI,RISK_ON,LOSS,1993.219970703125,1876.7771953374988,2192.5419677734376,27.0,0.07706128772233112,-0.17420052769220462,-0.14688796700827478,-1.0,False,0.058419430407648375,stock
2212,2024-10-17,A,72.0,MELI,RISK_ON,LOSS,2065.8701171875,1949.2201216452436,2272.45712890625,15.0,0.03918443395758153,-0.20324129464591711,-0.1119916036816736,-1.0,False,0.05646530949441543,stock
2222,2024-10-31,A,75.0,MELI,RISK_ON,LOSS,2030.43994140625,1912.7829066920344,2233.4839355468753,5.0,0.05731768991528119,-0.18933824811385114,-0.03153499195953391,-1.0,False,0.05794657222548932,stock
2226,2024-11-06,B,90.0,MELI,RISK_ON,LOSS,1920.0,1807.8383285400807,2112.0,1.0,0.11813545227050781,-0.14270833333333333,0.06365623474121085,-1.0,True,0.0584175372187079,stock
2375,2025-06-13,A,75.0,MELI,RISK_ON,WIN,2390.0,2220.625338777468,2629.0,11.0,0.10678659862055428,-0.043937242579759395,-0.02266942746469669,1.4110729330758114,True,0.07086805908892549,stock
2018,2024-01-10,B,70.0,MSFT,RISK_ON,WIN,378.64317007041507,364.59930918544876,416.50748707745663,44.0,0.11817791394850974,-0.014559572842454682,0.11067692533681606,2.6961472573097405,True,0.0370899622522034,stock
2151,2024-07-23,A,70.0,MSFT,RISK_ON,LOSS,433.6351347306288,415.03974506139724,476.99864820369174,2.0,0.004986611902583649,-0.12457728681041469,-0.04748611339944142,-1.0,False,0.04288257149823179,stock
2374,2025-06-12,B,70.0,MSFT,RISK_ON,WIN,472.6348110082228,455.2368153441218,519.8982921090451,33.0,0.16590750695276846,-0.008186171260474828,0.07205605198781906,2.7166049476805885,True,0.03681065223906739,stock
2407,2025-07-31,B,80.0,MSFT,RISK_ON,LOSS,530.7605061500977,508.41527032456895,583.8365567651076,13.0,0.03669208429292414,-0.07816933107706048,0.013907100222223079,-1.0,False,0.04210041170472771,stock
2421,2025-08-20,A,75.0,MSFT,RISK_ON,TIMEOUT,500.5200933584279,478.4742721485858,550.5721026942707,63.0,0.09932692549684052,-0.03357224449629026,-0.019654934785864664,-0.4462383006890608,False,0.044045826535988535,stock
